Instance,CHE,CC,CTD,CTnCTR,PCS,MCTD,HRHE_i,HRC_i,HRHE_o,HRC_o,CBS
Ground Truth,2.2026594947013556,11.647058823529411,0.8207642791821913,0.8297087663219738,0.3145323540008595,1.4042449328013056,0.5093103178105957,2.0607210626185957,0.503039849637815,2.127134724857685,0.24261250638997225
base2_Q16_L256_PC_FR_base2,0.7863201887633016,2.9430740037950662,0.5753118677214443,0.6793250428935381,0.3115110180492843,1.4899748181213834,0.6111505338390529,2.732447817836812,0.4880158144113579,2.6603415559772294,0.2117129475866976
base2_Q16_L272_bar_PC_FR_base2,1.1598813614056542,4.087286527514231,0.5874554328006395,0.7476831476481544,0.3956813087693835,1.4008097212979376,0.09897723441862172,1.3719165085388993,0.061736680686539466,1.2751423149905123,0.029860478229068
base2_Q4_L64_PC_FR_base2,0.9604904086232618,3.390891840607211,0.4912491283812462,0.6976615825604903,0.3328937743211735,1.4723387677433208,0.7360061033380937,3.0094876660341554,0.5359732946119647,2.878557874762808,0.16994743934961176
base2_Q4_L80_bar_PC_FR_base2,0.15005854034953547,1.2685370741482966,0.14780260816360707,0.6654746721096385,0.3020721515996096,1.5061182982998595,0.21642998371106922,1.5250501002004009,0.16931052053199988,1.501002004008016,0.05960976018331901
base2_Q4_L80_bar_PC_base2,0.06949857469754712,1.128,0.04639158794368524,0.6523566136638704,0.31205661494644027,1.509622851311542,0.1016411005355941,1.254,0.08964266443634063,1.25,0.03331001645397926
f2f_Q16_L256_PC_FR_nucleus,1.5618419540343182,7.730550284629981,0.7785177325608756,0.6313036568858843,0.26160595278117366,1.5249708452889728,1.4131813175279082,6.5426944971537,0.974629235070591,4.825426944971537,0.5481202819249636
f2f_Q16_L256_PC_nucleus,0.9447156335456,4.1347248576850095,0.4722459272941762,0.6155670959949489,0.23253198733877348,1.5550379152579967,1.0837697651627867,5.504743833017078,0.724581089865081,4.449715370018976,0.4275198730507348
f2f_Q16_L272_bar_PC_FR_nucleus,1.567002585914739,6.764705882352941,0.7063243102249511,0.6765880305727707,0.30188741307990696,1.4911957438121188,0.5025355545714916,2.7836812144212524,0.2999483958018828,2.189753320683112,0.151197698398536
f2f_Q16_L272_bar_PC_nucleus,1.2504445646117235,5.798861480075901,0.5464180879675394,0.6672016176847149,0.26026527995848964,1.5050154026491904,0.6943620842849391,3.3889943074003797,0.44431872426055624,2.7039848197343455,0.24348223201197555
f2f_Q4_L64_PC_FR_nucleus,2.0166101139375816,9.641366223908918,0.8645602769892671,0.7689036428848589,0.37668981448037525,1.402222088238894,0.7038765776826128,2.9620493358633775,0.45894352210070316,2.6299810246679316,0.14380262647968722
f2f_Q4_L64_PC_nucleus,1.8762320064994693,8.637571157495255,0.8547451563077404,0.7594962205234684,0.35367455251924,1.420785627613199,0.6954271264377343,2.950664136622391,0.45946970696367484,2.6470588235294117,0.14305313187133956
f2f_Q4_L80_bar_PC_base2,2.179818189455529,11.049335863377609,0.9530682992300442,0.8047873657160789,0.3948360108328842,1.3773649461991009,0.8952489453935819,3.3396584440227706,0.648792705891307,3.144212523719165,0.21695116401604836
f2f_Q4_L80_bar_PC_nucleus,2.0057197967726634,9.512333965844402,0.9097545695244047,0.7874885666941724,0.39178780108580374,1.3858303586054705,0.5998234272402461,2.667931688804554,0.39042358953937756,2.3700189753320684,0.12445957581785257
f2f_Q4_L80_bar_PC_random,1.992501620938272,9.521821631878558,0.8977428431332458,0.804483642477556,0.3918242165497219,1.37968961202587,0.7608604696301916,3.081593927893738,0.5235375493644786,2.846299810246679,0.16611808989928212
random_Q4_L80_bar_PC_nucleus,0.8166980465113438,2.6072106261859584,0.4515357200635797,0.6276733428068576,0.2769045036140021,1.550560375683892,0.011548856846632316,1.0398481973434535,0.006157043872242098,1.0246679316888045,0.0017631937160948424
random_Q4_L80_bar_PC_random,0.7968384804685171,2.635673624288425,0.4461435175616147,0.6221204514324915,0.2703236341730748,1.5538383182157396,0.04879408610988398,1.1783681214421253,0.027834179705126725,1.1195445920303606,0.007602096748291096
