Instance,CHE,CC,CTD,CTnCTR,PCS,MCTD,HRHE_i,HRC_i,HRHE_o,HRC_o,CBS
DE4_end_nvis0,0.5156087650928041,4.3168880455407965,0.1962223996434943,0.09271059356365649,0.13032595484457854,0.0810283286981874,0.5183616553995354,1.588235294117647,0.3543509459382385,1.3320683111954459,0.16045788979658224
DE4_random,0.5045670486142491,4.411764705882353,0.21859646001690702,0.10952858376210718,0.11144640507666977,0.08155872891170951,0.5727684595380441,1.5920303605313093,0.42085427940446773,1.444022770398482,0.17711389347042855
DE4_random_nvis0,0.5187666627083926,4.332068311195446,0.1950646635599506,0.09221197831888713,0.12999329709765606,0.08025891011100386,0.5367887085817751,1.5939278937381405,0.37554916285135814,1.3927893738140418,0.16386447611133725
DE4_start,0.5200687808781437,4.489563567362429,0.22135605268667563,0.10923269975873096,0.10807005621335475,0.08061966766965388,0.5528260124416418,1.5313092979127134,0.39186966388213507,1.2903225806451613,0.1775572801935055
DE4_start_nvis0,0.5215041393288693,4.358633776091081,0.1922025914416384,0.09224900386940198,0.12947033463524926,0.08062701696378183,0.5055771232274879,1.5332068311195446,0.34448223474603196,1.269449715370019,0.15963967408001523
DE4_uncertain,0.49298063371265577,4.35673624288425,0.20968595935843534,0.10568043448775495,0.11110397151402775,0.07898088375042982,0.562465950911186,1.5654648956356736,0.41506561469127945,1.3548387096774193,0.18395872844307593
DE4_uncertain_nvis0,0.5187090301290828,4.354838709677419,0.19492788684911516,0.09232270347893527,0.1302253491218205,0.08093904311218114,0.5006752192948655,1.5066413662239089,0.34002003274989573,1.252371916508539,0.15760768118829982
DE_certain,0.5532992786270884,4.616698292220113,0.2320923508262563,0.11086669936504757,0.11069512112756695,0.08166373397281182,0.5561792534669115,1.5104364326375712,0.40113119377851475,1.2941176470588236,0.1769343615100485
DE_certain_nvis0,0.5219785576645339,4.379506641366224,0.19655339353293055,0.09158094365919386,0.13024229819212232,0.07907451483383138,0.5132554245549774,1.586337760910816,0.3569869367549741,1.3434535104364327,0.16224128831198403
DE_end,0.5106364322663524,4.44022770398482,0.2221108033559521,0.1078966893698898,0.11137076335388288,0.08046500717851751,0.5535761719203485,1.5123339658444024,0.40959488972912866,1.3130929791271346,0.18212573588422767
DE_end_nvis0,0.5165411742869748,4.332068311195446,0.19594116143371645,0.0927672653565679,0.13029887294665551,0.08085939749998935,0.5157708110818182,1.5673624288425048,0.3540262209924751,1.3244781783681214,0.16037248748565858
DE_random,0.4996950335875881,4.379506641366224,0.2159597937133573,0.1086459887827481,0.10860358322347784,0.07955167653125461,0.5658337905068135,1.5958254269449716,0.42479975606145987,1.4497153700189753,0.18182652361327786
DE_random_nvis0,0.5168904030175084,4.314990512333966,0.19078736600556806,0.09387385407309665,0.13105098764385242,0.08187012725507553,0.530727821777415,1.573055028462998,0.36725943051100945,1.3605313092979128,0.16158907778177842
DE_start,0.5213388486592603,4.497153700189753,0.22181140463654003,0.1099631171812535,0.10765560565489071,0.08028539543569423,0.5537830955056926,1.5161290322580645,0.3967844193010914,1.3092979127134725,0.17827618871739961
DE_start_nvis0,0.519039886909023,4.339658444022771,0.1939287667813482,0.09189004708002144,0.12964063481145285,0.08021096698783058,0.5067852373611178,1.537001897533207,0.3449499433759948,1.2770398481973435,0.15858288547538862
DE_uncertain,0.49368010058184675,4.370018975332068,0.21136438417781056,0.10561174418908117,0.11044830018334408,0.0787384329587876,0.5598847890389818,1.5635673624288424,0.4115553704109491,1.3529411764705883,0.18291626124091642
DE_uncertain_nvis0,0.5213515777517851,4.362428842504744,0.1960185120413448,0.092264267286009,0.13016596494564273,0.08024168114918766,0.5014951155463214,1.4857685009487667,0.3445716051552693,1.2618595825426946,0.15932413983120602
SE_certain,0.5133280632614233,4.320683111954459,0.2092750156597467,0.09438366665441601,0.11037778206563648,0.07707269258285655,0.3580376784874055,1.096774193548387,0.3296367047627414,0.920303605313093,0.18326214210461386
SE_certain_nvis0,0.45070827866717156,4.041745730550285,0.20395263676534592,0.08723911415298609,0.13796935821213224,0.0804599161070126,0.633423071318573,1.7514231499051234,0.41629858366157735,1.5521821631878558,0.159311223666986
SE_end,0.43663379506741823,3.8975332068311195,0.19544544733239633,0.0901847767093432,0.10484900378385133,0.07651890186800397,0.34099946989135865,1.0626185958254268,0.29447535474944103,0.8197343453510436,0.169098384308446
SE_end_nvis0,0.45099078028396933,4.055028462998102,0.20140012248215547,0.08668264835305721,0.13705416781107876,0.07878248784208482,0.6098538577708716,1.6944971537001898,0.3817620498916459,1.445920303605313,0.15386834215214798
SE_random,0.4007613840630237,3.7115749525616697,0.2065425752287789,0.0896278969601529,0.11119087164260814,0.07814147306260419,0.4402010929903033,1.3320683111954459,0.3233416415312426,1.159392789373814,0.15991758574006715
SE_random_nvis0,0.42773357591796074,4.015180265654649,0.20616280333994913,0.08856745755738865,0.13836000519406297,0.0810847069898588,0.655646201248579,1.7647058823529411,0.5741910399829789,1.7703984819734346,0.206176133290536
SE_start,0.454616025206085,4.011385199240987,0.2152232116376389,0.10149780868578061,0.11055008104514875,0.0788808929014751,0.3700147952252884,1.1157495256166983,0.32020463825647566,0.9259962049335864,0.17799641250844864
SE_start_nvis0,0.45049599661214795,4.054945054945055,0.21560425149948975,0.0875391163324661,0.14606062490140714,0.07624484015393253,0.6290539076647723,1.6593406593406594,0.4214815368202428,1.5164835164835164,0.1648949439244138
SE_uncertain,0.3852214614747081,3.7191650853889944,0.2097151249416572,0.09238774122705531,0.11008193680166371,0.07735491463497872,0.48130775199857917,1.459203036053131,0.3355034869653475,1.2277039848197344,0.15481661837506086
SE_uncertain_nvis0,0.4294744274137651,3.9715370018975333,0.21347245434832232,0.08619666284683995,0.13795012717127766,0.08209735860667783,0.6243191628626582,1.7020872865275143,0.5066705736277015,1.6565464895635673,0.1862911540499934
