epoch,step,n_vis,train_loss,train_acc,train_ppl,train_te,val_loss,val_acc,val_ppl,val_te,sav_version
0,459,0,1.659777010967529,0.5623520144940692,6.826966603111805,0.29813853411598507,1.5598491330941517,0.5883285984848485,4.815887323895014,0.2595218737693289,1
1,918,0,1.4953278708302118,0.6002189050774634,4.501087205594406,0.25521200604822253,1.4336535781621933,0.605706972064394,4.237178908269478,0.2391540753589597,2
2,1377,0,1.4093514119877535,0.6123936206427014,4.129649991146944,0.24143761068954614,1.3046685035030048,0.6357806581439395,3.7277928520097396,0.20389981448116357,3
3,1836,0,1.3327175229463182,0.6326252723311545,3.8233952985187076,0.22749759198999453,1.2612990960478783,0.6477923768939395,3.57011081912531,0.20145752328319563,4
4,2295,0,1.2952847348319159,0.6425206328673444,3.680704765425273,0.2207799433585949,1.2483368640144665,0.6516246448863636,3.524689173137579,0.19308477622634648,5
5,2754,0,1.2766038228743477,0.6465257920297749,3.615048611087382,0.21670617616614704,1.235146313905716,0.6524976325757574,3.47859470145788,0.19313760303396843,6
6,3213,0,1.2606716433901153,0.650438755749213,3.5574181799268705,0.2144209117906522,1.2265129908919334,0.6560857599431817,3.448711971005116,0.1905927774062898,7
7,3672,0,1.2499644196630824,0.6527882738743644,3.5181392074077342,0.21259609931803594,1.228217567006747,0.6538322679924243,3.454664725437055,0.18555200296740074,8
8,4131,0,1.241042827988502,0.6547082085148873,3.483945145536902,0.21064365766448231,1.2240434885025024,0.6569099195075758,3.4401295028939014,0.1874116895253716,9
9,4590,0,1.2327341961964542,0.6562718432280321,3.455890696154984,0.20947167102692896,1.2166132504741352,0.6598233309659092,3.413287770292363,0.1867176267707358,10
10,5049,0,1.2247954783616242,0.6582433127572014,3.4299544044685866,0.20811284635622265,1.2127053787310917,0.6600142045454546,3.3997126097872044,0.189008808087443,11
