epoch,step,n_vis,train_loss,train_acc,train_ppl,train_te,val_loss,val_acc,val_ppl,val_te,sav_version
0,1835,0,1.8510111710031285,0.49002945183522967,7.138597167665741,0.315128521276864,1.749650364173086,0.5052518704850362,6.110053498715719,0.29561958252277726,1
1,3670,0,1.7439339516273311,0.5297358350697223,6.041136707984485,0.293700310573107,1.6853504017779701,0.5515189628482974,5.72914352211619,0.2697768776353909,2
2,5505,0,1.7085072734050595,0.5494257393011697,5.8263256479455094,0.2884407767249798,1.6653551697731017,0.5519865841073271,5.585466653225057,0.2754798626122577,3
3,7340,0,1.6372755778258112,0.5591781535502491,5.4079265387935,0.2775817458514907,1.5511853619625693,0.5734987745098035,4.985782727399606,0.2440891614358407,4
4,9175,0,1.5484144351787723,0.580294317999679,4.939418800289165,0.26207635158694886,1.4814700201938027,0.5961300309597521,4.629812997865087,0.23259035904015213,5
5,11010,0,1.4961622170921243,0.5918321245391898,4.682937506047662,0.25369089834848446,1.4657872701946058,0.5956414473684212,4.558264548881612,0.2268963610206511,6
6,12845,0,1.4638395882757222,0.5991730445584231,4.531501020280663,0.24815522272328222,1.4414878744828075,0.6012222652218783,4.436211479196362,0.23487643670525005,7
7,14680,0,1.4370070906361052,0.6051528189613717,4.382355872326095,0.24400045070713275,1.430545921702134,0.604861648606811,4.397131074244479,0.21787095316967658,8
8,16515,0,1.41442014891705,0.6093790070524118,4.279773265032384,0.24025780202437885,1.4125904993007057,0.6079753611971105,4.32878558503627,0.22664849471389514,9
9,18350,0,1.387317507305977,0.6137774983971787,4.157280809367329,0.23637858368805317,1.427802350019154,0.609702334881321,4.400416743440119,0.21630699285205618,10
10,20185,0,1.3613506724464146,0.6190062009136089,4.048892962423739,0.2323646693642957,1.4209724018448278,0.6104360165118677,4.3665552727289825,0.2200663316342944,11
11,22020,0,1.3314426032009177,0.624000741304696,3.9220111317236994,0.22849672906629193,1.4352748444205836,0.6088573916408668,4.4432745794532735,0.21010676768413797,12
12,23855,0,1.2944551934988038,0.6307694041513066,3.777061635265595,0.2233706866916929,1.4488421471495376,0.6105327657378737,4.557616222783833,0.19095358323097422,13
13,25690,0,1.2544421456165469,0.6387249058342683,3.6191745388564938,0.21703023940531058,1.4630658450879548,0.6066273219814241,4.614707733441208,0.19754701596370283,14
14,27525,0,1.208711552912273,0.6484442619009455,3.4446298473441526,0.21060596436973433,1.4688279503270198,0.6027315531475748,4.621369633584043,0.19003875405959467,15
15,29360,0,1.154816001572466,0.660584128065396,3.2489874786723885,0.20214898579208557,1.530091603178727,0.5947658668730652,4.9737016015777025,0.1892924150453099,16
16,31195,0,1.0946589005090885,0.6753421020996945,3.054083771989782,0.1924644299701967,1.592387110308597,0.591832752837977,5.329718369894016,0.18107182238337022,17
17,33030,0,1.0380988208896782,0.6884075973713745,2.882063183149082,0.18290970472392465,1.5672495666303132,0.6010771413828688,5.232980020732912,0.16969561671756261,18
18,34865,0,0.9760662028022943,0.7039048725757328,2.7004571735527114,0.17257367614129498,1.6316631624573155,0.5900686919504642,5.621282087554287,0.16756623054157763,19
19,36700,0,0.9111204307962828,0.721546421702194,2.529157622509611,0.16162549738985835,1.6789231639159352,0.5897478070175436,5.931997032567647,0.15369851244252125,20
20,38535,0,0.8556056494933708,0.7362457925949678,2.3876369150597285,0.15151130225972906,1.7691931247711181,0.5864663957688337,6.604407926551565,0.14340756627068246,21
21,40370,0,0.7978669090881659,0.7525847992466734,2.2502559681272905,0.1419481618456824,1.8102501925669219,0.583238196594427,6.924798142181971,0.13979140291836084,22
22,42205,0,0.746863460378361,0.7672926851258222,2.1369045127773507,0.1324632916269157,1.8747776621266414,0.5786780830753353,7.5302597379607255,0.13250015204640844,23
23,44040,0,0.6954445624871215,0.7823657136560344,2.0287462461879886,0.12369089971345976,1.9321762530427231,0.5789344685242516,7.913122589837983,0.1292567360558187,24
24,45875,0,0.6500787022977824,0.795284200192337,1.935945030305435,0.11554450790791719,1.9572100689536647,0.5777992776057792,8.115655286519976,0.12575635659893716,25
25,47710,0,0.6083470814234554,0.8079585069722722,1.8543065783944952,0.1081487687602665,2.037835025159936,0.5714718782249743,9.058421171126076,0.12117746604980698,26
