epoch,step,n_vis,train_loss,train_acc,train_ppl,train_te,val_loss,val_acc,val_ppl,val_te,sav_version
0,1835,-1,0.9017918390620308,0.7575789637382169,3.2254852860359455,0.15251805013065453,0.6087748099314539,0.8035101850355915,1.889756853213141,0.08762067345020273,1
1,3670,-1,0.6289512703626617,0.8040494971709845,1.9190717568324906,0.09946999347709058,0.5796359551580329,0.805925032253237,1.818019241432079,0.08563904846232279,2
2,5505,-1,0.580432805648817,0.8135349889509637,1.8268397919200816,0.09183335395325304,0.547544054608596,0.8201944114466332,1.7562054063097332,0.0749653869461856,3
3,7340,-1,0.538848897851293,0.8241463944883973,1.7455187779848302,0.08686113580725656,0.529858208330054,0.8241871777609789,1.7384643423887822,0.0769264555447852,4
4,9175,-1,0.5154680962783439,0.8288417769301438,1.6997033999855111,0.0832908776953944,0.4714899337605426,0.8403745155387922,1.6395209907405124,0.06287121647361882,5
5,11010,-1,0.4801557407737265,0.8404784597717373,1.6400722117904665,0.07972313184141941,0.4437395407965309,0.8513450193240432,1.5831511693638456,0.06944819190454858,6
