epoch,step,n_vis,train_loss,train_acc,train_ppl,train_te,val_loss,val_acc,val_ppl,val_te,sav_version
0,125,0,1.0830097856521606,0.6348250000000002,6.265725886537812,0.2506683959994124,0.7990067326105558,0.6557692307692308,2.223365615798598,0.1452745107691892,1
1,250,0,0.8001669869422913,0.6576125,2.225979050988478,0.14595060808639232,0.7858274212250342,0.6554086538461538,2.1942311637070966,0.13904713424531462,2
2,375,0,0.7919980854988098,0.6572625,2.2078402184284434,0.13996917854443136,0.782054236302009,0.6550480769230771,2.1859614661487767,0.13674290331350378,3
3,500,0,0.7910679912567139,0.6565874999999999,2.2057884400978462,0.13754165342537222,0.7842536110144395,0.6539663461538462,2.1907774638147512,0.13516024444946978,4
4,625,0,0.7880298590660095,0.6575875000000002,2.1990923946395844,0.13623684507657435,0.7827642514155462,0.6606971153846153,2.1875293187729232,0.1340587793970698,5
5,750,0,0.7871203470230103,0.6582624999999996,2.1970909307539497,0.13526809824618286,0.7830682305189279,0.6552884615384615,2.188183020915898,0.13385479548743445,6
6,875,0,0.7852921772003174,0.6596374999999997,2.193073168351325,0.1347374947865041,0.7797571420669556,0.6551682692307694,2.180956675458529,0.13345818770940307,7
7,1000,0,0.7839817113876343,0.6612750000000002,2.190217027004174,0.13420437061215024,0.7744923784182622,0.6699519230769231,2.1695011772713952,0.1331823568157455,8
8,1125,0,0.7737391419410705,0.6735374999999999,2.167924139746597,0.1328403832179751,0.7595605070774372,0.6862980769230769,2.1373640546246957,0.12986882058677174,9
9,1250,0,0.7619158935546875,0.684725,2.142455108868203,0.13086237575556997,0.7365168929100037,0.6968750000000001,2.088682480912427,0.12657797196755308,10
10,1375,0,0.5519830043315888,0.7817625000000001,1.7594508432208174,0.10046557232504745,0.04874463895192513,0.9918269230769231,1.0499582080511776,0.023943039221595037,11
11,1500,0,0.15641705179214477,0.9495874999999996,1.1709130871208078,0.03136247619803461,0.001880451517466169,1.0,1.001882236188845,0.002579459388788866,12
12,1625,0,0.07752922588586807,0.9779125000000002,1.0808518791364494,0.015741500946450004,0.0008701871220882123,1.0,1.0008705707901706,0.0014007467916705256,13
13,1750,0,0.05400060333311558,0.9846375000000002,1.0556847879692364,0.011067193570978684,0.0004873695725109428,1.0,1.0004874922469276,0.00088133919695744,14
14,1875,0,0.04459477993100881,0.9879374999999999,1.04572452450087,0.008838830539012143,0.00044238876300649,1.0,1.0004424896863424,0.0007972052952962351,15
15,2000,0,0.03481984376162291,0.9905624999999998,1.0355133874547122,0.007189472425180356,0.0003967410907185135,1.0,1.0003968220852582,0.0007127819255165447,16
16,2125,0,0.027899637419730425,0.992275,1.0283631738555925,0.006082105646532579,0.000236275946148313,1.0,1.0002363057934582,0.0004723543958205905,17
17,2250,0,0.026463359266519545,0.9928624999999999,1.0268945270400556,0.0053580399352372654,0.00025754580565262586,1.0,1.000257579977091,0.0004853595251247851,18
18,2375,0,0.021665147360414267,0.9941249999999998,1.0219598427937946,0.004701463827907641,0.00016959293973811256,1.0,1.000169607911735,0.0003548205281327551,19
19,2500,0,0.02042731733061373,0.9943874999999995,1.0206906573843955,0.004362210292158396,0.00015262034699284972,1.0,1.0001526324681889,0.00032515766523910617,20
20,2625,0,0.018060329101979734,0.9953249999999997,1.0182783007814304,0.003870924381303687,0.00012047924526716367,1.0,1.000120488697974,0.00026339914471026145,21
21,2750,0,0.017256440427154303,0.9957999999999997,1.0174566567087524,0.0034828992201004255,0.00014139634395877903,1.0,1.0001414073087942,0.00028945802572598507,22
22,2875,0,0.015814818078652024,0.9957750000000002,1.0159933046277354,0.0033047283012333966,0.00013154163249195195,1.0,1.0001315513780407,0.0002697088423121605,23
23,3000,0,0.015194893972948193,0.9960749999999998,1.015350340590282,0.003139091333411008,0.0001143906993092969,1.0,1.000114398950068,0.00024092622173082964,24
24,3125,0,0.014000916069373488,0.9964874999999999,1.0141336995076338,0.002823137443439551,0.00010952400883140329,1.0,1.0001095303256349,0.00023287272194336903,25
25,3250,0,0.013237532493658364,0.9965125000000001,1.0133679762304904,0.0027316546290143927,9.43449922488071e-05,1.0,1.0000943513040808,0.0002058871537409098,26
26,3375,0,0.014970896312966943,0.9962124999999998,1.015128213181013,0.002992241023640706,0.00012398155936702655,1.0,1.0001239902756929,0.0002483240843269608,27
27,3500,0,0.013010532140731812,0.9966874999999996,1.013132920683943,0.0026322629572608724,0.00012110033108351323,1.0,1.0001211096184093,0.00023801051783983525,28
28,3625,0,0.01324138743430376,0.9964749999999997,1.0133680423553746,0.0025587571101599715,0.00011441847219919929,1.0,1.0001144267233941,0.00023118742245648838,29
29,3750,0,0.011024444984272122,0.9969124999999994,1.0111116993126894,0.0023603951689116372,7.476388082767908e-05,1.0,1.0000747697519397,0.00016387943286270019,30
30,3875,0,0.009280743923038244,0.9972625000000002,1.009355459545517,0.0019649939981476257,7.482286309823394e-05,1.0,1.0000748281527247,0.00016018211515880817,31
31,4000,0,0.008920138084329664,0.9975999999999996,1.0089887964148336,0.0019061388667028002,6.888577011592973e-05,1.0,1.0000688910002293,0.0001510070897271856,32
32,4125,0,0.011643804715946317,0.9968749999999995,1.0117460725341516,0.002194532822931389,7.39289120806811e-05,1.0,1.0000739342916292,0.00015697703722720695,33
33,4250,0,0.0086957832807675,0.9977999999999998,1.008760251096864,0.0018360262692646064,6.937651610664594e-05,1.0,1.0000693812630386,0.00014798867604813403,34
34,4375,0,0.008493190532084555,0.9977749999999991,1.0085556045790007,0.0016008578619165171,6.69387694730316e-05,1.0,1.000066943977759,0.00014157129098705856,35
